statistic_yyy,according,district_code,site_id,sex,single_multiple_birth,birth_count
110,按登記日期分,65000050,新北市新莊區,男,雙胞胎,58
110,按登記日期分,65000050,新北市新莊區,男,3胞胎,0
110,按登記日期分,65000050,新北市新莊區,男,4胞胎,0
110,按登記日期分,65000050,新北市新莊區,男,5胞胎以上,0
110,按登記日期分,65000050,新北市新莊區,女,單胎,1323
110,按登記日期分,65000050,新北市新莊區,女,雙胞胎,56
110,按登記日期分,65000050,新北市新莊區,女,3胞胎,0
110,按登記日期分,65000050,新北市新莊區,女,4胞胎,0
110,按登記日期分,65000050,新北市新莊區,女,5胞胎以上,0
110,按登記日期分,65000060,新北市新店區,男,單胎,800
110,按登記日期分,65000060,新北市新店區,男,雙胞胎,26
110,按登記日期分,65000060,新北市新店區,男,3胞胎,0
110,按登記日期分,65000060,新北市新店區,男,4胞胎,0
110,按登記日期分,65000060,新北市新店區,男,5胞胎以上,0
110,按登記日期分,65000060,新北市新店區,女,單胎,780
110,按登記日期分,65000060,新北市新店區,女,雙胞胎,23
110,按登記日期分,65000060,新北市新店區,女,3胞胎,0
110,按登記日期分,65000060,新北市新店區,女,4胞胎,0
110,按登記日期分,65000060,新北市新店區,女,5胞胎以上,0
110,按登記日期分,65000070,新北市樹林區,男,單胎,617
110,按登記日期分,65000070,新北市樹林區,男,雙胞胎,21
110,按登記日期分,65000070,新北市樹林區,男,3胞胎,0
110,按登記日期分,65000070,新北市樹林區,男,4胞胎,0
110,按登記日期分,65000070,新北市樹林區,男,5胞胎以上,0
110,按登記日期分,65000070,新北市樹林區,女,單胎,564
110,按登記日期分,65000070,新北市樹林區,女,雙胞胎,12
110,按登記日期分,65000070,新北市樹林區,女,3胞胎,0
110,按登記日期分,65000070,新北市樹林區,女,4胞胎,0
110,按登記日期分,65000070,新北市樹林區,女,5胞胎以上,0
110,按登記日期分,65000080,新北市鶯歌區,男,單胎,277
110,按登記日期分,65000080,新北市鶯歌區,男,雙胞胎,11
110,按登記日期分,65000080,新北市鶯歌區,男,3胞胎,0
110,按登記日期分,65000080,新北市鶯歌區,男,4胞胎,0
110,按登記日期分,65000080,新北市鶯歌區,男,5胞胎以上,0
110,按登記日期分,65000080,新北市鶯歌區,女,單胎,317
110,按登記日期分,65000080,新北市鶯歌區,女,雙胞胎,16
110,按登記日期分,65000080,新北市鶯歌區,女,3胞胎,0
110,按登記日期分,65000080,新北市鶯歌區,女,4胞胎,0
110,按登記日期分,65000080,新北市鶯歌區,女,5胞胎以上,0
110,按登記日期分,65000090,新北市三峽區,男,單胎,380
110,按登記日期分,65000090,新北市三峽區,男,雙胞胎,17
110,按登記日期分,65000090,新北市三峽區,男,3胞胎,0
110,按登記日期分,65000090,新北市三峽區,男,4胞胎,0
110,按登記日期分,65000090,新北市三峽區,男,5胞胎以上,0
110,按登記日期分,65000090,新北市三峽區,女,單胎,351
110,按登記日期分,65000090,新北市三峽區,女,雙胞胎,11
110,按登記日期分,65000090,新北市三峽區,女,3胞胎,0
110,按登記日期分,65000090,新北市三峽區,女,4胞胎,0
110,按登記日期分,65000090,新北市三峽區,女,5胞胎以上,0
110,按登記日期分,65000100,新北市淡水區,男,單胎,550
110,按登記日期分,65000100,新北市淡水區,男,雙胞胎,30
110,按登記日期分,65000100,新北市淡水區,男,3胞胎,0
110,按登記日期分,65000100,新北市淡水區,男,4胞胎,0
110,按登記日期分,65000100,新北市淡水區,男,5胞胎以上,0
110,按登記日期分,65000100,新北市淡水區,女,單胎,521
110,按登記日期分,65000100,新北市淡水區,女,雙胞胎,40
110,按登記日期分,65000100,新北市淡水區,女,3胞胎,0
110,按登記日期分,65000100,新北市淡水區,女,4胞胎,0
110,按登記日期分,65000100,新北市淡水區,女,5胞胎以上,0
110,按登記日期分,65000110,新北市汐止區,男,單胎,558
110,按登記日期分,65000110,新北市汐止區,男,雙胞胎,31
110,按登記日期分,65000110,新北市汐止區,男,3胞胎,0
110,按登記日期分,65000110,新北市汐止區,男,4胞胎,0
110,按登記日期分,65000110,新北市汐止區,男,5胞胎以上,0
110,按登記日期分,65000110,新北市汐止區,女,單胎,504
110,按登記日期分,65000110,新北市汐止區,女,雙胞胎,19
110,按登記日期分,65000110,新北市汐止區,女,3胞胎,0
110,按登記日期分,65000110,新北市汐止區,女,4胞胎,0
110,按登記日期分,65000110,新北市汐止區,女,5胞胎以上,0
110,按登記日期分,65000120,新北市瑞芳區,男,單胎,98
110,按登記日期分,65000120,新北市瑞芳區,男,雙胞胎,3
110,按登記日期分,65000120,新北市瑞芳區,男,3胞胎,0
110,按登記日期分,65000120,新北市瑞芳區,男,4胞胎,0
110,按登記日期分,65000120,新北市瑞芳區,男,5胞胎以上,0
110,按登記日期分,65000120,新北市瑞芳區,女,單胎,105
110,按登記日期分,65000120,新北市瑞芳區,女,雙胞胎,1
110,按登記日期分,65000120,新北市瑞芳區,女,3胞胎,0
110,按登記日期分,65000120,新北市瑞芳區,女,4胞胎,0
110,按登記日期分,65000120,新北市瑞芳區,女,5胞胎以上,0
110,按登記日期分,65000130,新北市土城區,男,單胎,693
110,按登記日期分,65000130,新北市土城區,男,雙胞胎,36
110,按登記日期分,65000130,新北市土城區,男,3胞胎,0
110,按登記日期分,65000130,新北市土城區,男,4胞胎,0
110,按登記日期分,65000130,新北市土城區,男,5胞胎以上,0
110,按登記日期分,65000130,新北市土城區,女,單胎,703
110,按登記日期分,65000130,新北市土城區,女,雙胞胎,45
110,按登記日期分,65000130,新北市土城區,女,3胞胎,0
110,按登記日期分,65000130,新北市土城區,女,4胞胎,0
110,按登記日期分,65000130,新北市土城區,女,5胞胎以上,0
110,按登記日期分,65000140,新北市蘆洲區,男,單胎,658
110,按登記日期分,65000140,新北市蘆洲區,男,雙胞胎,23
110,按登記日期分,65000140,新北市蘆洲區,男,3胞胎,0
110,按登記日期分,65000140,新北市蘆洲區,男,4胞胎,0
110,按登記日期分,65000140,新北市蘆洲區,男,5胞胎以上,0
110,按登記日期分,65000140,新北市蘆洲區,女,單胎,610
110,按登記日期分,65000140,新北市蘆洲區,女,雙胞胎,17
110,按登記日期分,65000140,新北市蘆洲區,女,3胞胎,0
110,按登記日期分,65000140,新北市蘆洲區,女,4胞胎,0
110,按登記日期分,65000140,新北市蘆洲區,女,5胞胎以上,0
110,按登記日期分,65000150,新北市五股區,男,單胎,296
110,按登記日期分,65000150,新北市五股區,男,雙胞胎,10
110,按登記日期分,65000150,新北市五股區,男,3胞胎,0
110,按登記日期分,65000150,新北市五股區,男,4胞胎,0
110,按登記日期分,65000150,新北市五股區,男,5胞胎以上,0
110,按登記日期分,65000150,新北市五股區,女,單胎,309
110,按登記日期分,65000150,新北市五股區,女,雙胞胎,9
110,按登記日期分,65000150,新北市五股區,女,3胞胎,0
110,按登記日期分,65000150,新北市五股區,女,4胞胎,0
110,按登記日期分,65000150,新北市五股區,女,5胞胎以上,0
110,按登記日期分,65000160,新北市泰山區,男,單胎,260
110,按登記日期分,65000160,新北市泰山區,男,雙胞胎,6
110,按登記日期分,65000160,新北市泰山區,男,3胞胎,0
110,按登記日期分,65000160,新北市泰山區,男,4胞胎,0
110,按登記日期分,65000160,新北市泰山區,男,5胞胎以上,0
110,按登記日期分,65000160,新北市泰山區,女,單胎,196
110,按登記日期分,65000160,新北市泰山區,女,雙胞胎,10
110,按登記日期分,65000160,新北市泰山區,女,3胞胎,0
110,按登記日期分,65000160,新北市泰山區,女,4胞胎,0
110,按登記日期分,65000160,新北市泰山區,女,5胞胎以上,0
110,按登記日期分,65000170,新北市林口區,男,單胎,486
110,按登記日期分,65000170,新北市林口區,男,雙胞胎,26
110,按登記日期分,65000170,新北市林口區,男,3胞胎,0
110,按登記日期分,65000170,新北市林口區,男,4胞胎,0
110,按登記日期分,65000170,新北市林口區,男,5胞胎以上,0
110,按登記日期分,65000170,新北市林口區,女,單胎,449
110,按登記日期分,65000170,新北市林口區,女,雙胞胎,18
110,按登記日期分,65000170,新北市林口區,女,3胞胎,0
110,按登記日期分,65000170,新北市林口區,女,4胞胎,0
110,按登記日期分,65000170,新北市林口區,女,5胞胎以上,0
110,按登記日期分,65000180,新北市深坑區,男,單胎,63
110,按登記日期分,65000180,新北市深坑區,男,雙胞胎,1
110,按登記日期分,65000180,新北市深坑區,男,3胞胎,0
110,按登記日期分,65000180,新北市深坑區,男,4胞胎,0
110,按登記日期分,65000180,新北市深坑區,男,5胞胎以上,0
110,按登記日期分,65000180,新北市深坑區,女,單胎,56
110,按登記日期分,65000180,新北市深坑區,女,雙胞胎,1
110,按登記日期分,65000180,新北市深坑區,女,3胞胎,0
110,按登記日期分,65000180,新北市深坑區,女,4胞胎,0
110,按登記日期分,65000180,新北市深坑區,女,5胞胎以上,0
110,按登記日期分,65000190,新北市石碇區,男,單胎,13
110,按登記日期分,65000190,新北市石碇區,男,雙胞胎,0
110,按登記日期分,65000190,新北市石碇區,男,3胞胎,0
110,按登記日期分,65000190,新北市石碇區,男,4胞胎,0
110,按登記日期分,65000190,新北市石碇區,男,5胞胎以上,0
110,按登記日期分,65000190,新北市石碇區,女,單胎,19
110,按登記日期分,65000190,新北市石碇區,女,雙胞胎,0
110,按登記日期分,65000190,新北市石碇區,女,3胞胎,0
110,按登記日期分,65000190,新北市石碇區,女,4胞胎,0
110,按登記日期分,65000190,新北市石碇區,女,5胞胎以上,0
110,按登記日期分,65000200,新北市坪林區,男,單胎,14
110,按登記日期分,65000200,新北市坪林區,男,雙胞胎,0
110,按登記日期分,65000200,新北市坪林區,男,3胞胎,0
110,按登記日期分,65000200,新北市坪林區,男,4胞胎,0
110,按登記日期分,65000200,新北市坪林區,男,5胞胎以上,0
110,按登記日期分,65000200,新北市坪林區,女,單胎,17
110,按登記日期分,65000200,新北市坪林區,女,雙胞胎,0
110,按登記日期分,65000200,新北市坪林區,女,3胞胎,0
110,按登記日期分,65000200,新北市坪林區,女,4胞胎,0
110,按登記日期分,65000200,新北市坪林區,女,5胞胎以上,0
110,按登記日期分,65000210,新北市三芝區,男,單胎,52
110,按登記日期分,65000210,新北市三芝區,男,雙胞胎,5
110,按登記日期分,65000210,新北市三芝區,男,3胞胎,0
110,按登記日期分,65000210,新北市三芝區,男,4胞胎,0
110,按登記日期分,65000210,新北市三芝區,男,5胞胎以上,0
110,按登記日期分,65000210,新北市三芝區,女,單胎,49
110,按登記日期分,65000210,新北市三芝區,女,雙胞胎,1
110,按登記日期分,65000210,新北市三芝區,女,3胞胎,0
110,按登記日期分,65000210,新北市三芝區,女,4胞胎,0
110,按登記日期分,65000210,新北市三芝區,女,5胞胎以上,0
110,按登記日期分,65000220,新北市石門區,男,單胎,28
110,按登記日期分,65000220,新北市石門區,男,雙胞胎,0
110,按登記日期分,65000220,新北市石門區,男,3胞胎,0
110,按登記日期分,65000220,新北市石門區,男,4胞胎,0
110,按登記日期分,65000220,新北市石門區,男,5胞胎以上,0
110,按登記日期分,65000220,新北市石門區,女,單胎,29
110,按登記日期分,65000220,新北市石門區,女,雙胞胎,0
110,按登記日期分,65000220,新北市石門區,女,3胞胎,0
110,按登記日期分,65000220,新北市石門區,女,4胞胎,0
110,按登記日期分,65000220,新北市石門區,女,5胞胎以上,0
110,按登記日期分,65000230,新北市八里區,男,單胎,138
110,按登記日期分,65000230,新北市八里區,男,雙胞胎,6
110,按登記日期分,65000230,新北市八里區,男,3胞胎,0
110,按登記日期分,65000230,新北市八里區,男,4胞胎,0
110,按登記日期分,65000230,新北市八里區,男,5胞胎以上,0
110,按登記日期分,65000230,新北市八里區,女,單胎,108
110,按登記日期分,65000230,新北市八里區,女,雙胞胎,9
110,按登記日期分,65000230,新北市八里區,女,3胞胎,0
110,按登記日期分,65000230,新北市八里區,女,4胞胎,0
110,按登記日期分,65000230,新北市八里區,女,5胞胎以上,0
110,按登記日期分,65000240,新北市平溪區,男,單胎,3
110,按登記日期分,65000240,新北市平溪區,男,雙胞胎,0
110,按登記日期分,65000240,新北市平溪區,男,3胞胎,0
110,按登記日期分,65000240,新北市平溪區,男,4胞胎,0
110,按登記日期分,65000240,新北市平溪區,男,5胞胎以上,0
110,按登記日期分,65000240,新北市平溪區,女,單胎,3
110,按登記日期分,65000240,新北市平溪區,女,雙胞胎,0
110,按登記日期分,65000240,新北市平溪區,女,3胞胎,0
110,按登記日期分,65000240,新北市平溪區,女,4胞胎,0
110,按登記日期分,65000240,新北市平溪區,女,5胞胎以上,0
110,按登記日期分,65000250,新北市雙溪區,男,單胎,13
110,按登記日期分,65000250,新北市雙溪區,男,雙胞胎,0
110,按登記日期分,65000250,新北市雙溪區,男,3胞胎,0
110,按登記日期分,65000250,新北市雙溪區,男,4胞胎,0
110,按登記日期分,65000250,新北市雙溪區,男,5胞胎以上,0
110,按登記日期分,65000250,新北市雙溪區,女,單胎,10
110,按登記日期分,65000250,新北市雙溪區,女,雙胞胎,0
110,按登記日期分,65000250,新北市雙溪區,女,3胞胎,0
110,按登記日期分,65000250,新北市雙溪區,女,4胞胎,0
110,按登記日期分,65000250,新北市雙溪區,女,5胞胎以上,0
110,按登記日期分,65000260,新北市貢寮區,男,單胎,17
110,按登記日期分,65000260,新北市貢寮區,男,雙胞胎,0
110,按登記日期分,65000260,新北市貢寮區,男,3胞胎,0
110,按登記日期分,65000260,新北市貢寮區,男,4胞胎,0
110,按登記日期分,65000260,新北市貢寮區,男,5胞胎以上,0
110,按登記日期分,65000260,新北市貢寮區,女,單胎,22
110,按登記日期分,65000260,新北市貢寮區,女,雙胞胎,2
110,按登記日期分,65000260,新北市貢寮區,女,3胞胎,0
110,按登記日期分,65000260,新北市貢寮區,女,4胞胎,0
110,按登記日期分,65000260,新北市貢寮區,女,5胞胎以上,0
110,按登記日期分,65000270,新北市金山區,男,單胎,50
110,按登記日期分,65000270,新北市金山區,男,雙胞胎,1
110,按登記日期分,65000270,新北市金山區,男,3胞胎,0
110,按登記日期分,65000270,新北市金山區,男,4胞胎,0
110,按登記日期分,65000270,新北市金山區,男,5胞胎以上,0
110,按登記日期分,65000270,新北市金山區,女,單胎,39
110,按登記日期分,65000270,新北市金山區,女,雙胞胎,3
110,按登記日期分,65000270,新北市金山區,女,3胞胎,0
110,按登記日期分,65000270,新北市金山區,女,4胞胎,0
110,按登記日期分,65000270,新北市金山區,女,5胞胎以上,0
110,按登記日期分,65000280,新北市萬里區,男,單胎,70
110,按登記日期分,65000280,新北市萬里區,男,雙胞胎,5
110,按登記日期分,65000280,新北市萬里區,男,3胞胎,0
110,按登記日期分,65000280,新北市萬里區,男,4胞胎,0
110,按登記日期分,65000280,新北市萬里區,男,5胞胎以上,0
110,按登記日期分,65000280,新北市萬里區,女,單胎,62
110,按登記日期分,65000280,新北市萬里區,女,雙胞胎,3
110,按登記日期分,65000280,新北市萬里區,女,3胞胎,0
110,按登記日期分,65000280,新北市萬里區,女,4胞胎,0
110,按登記日期分,65000280,新北市萬里區,女,5胞胎以上,0
110,按登記日期分,65000290,新北市烏來區,男,單胎,30
110,按登記日期分,65000290,新北市烏來區,男,雙胞胎,1
110,按登記日期分,65000290,新北市烏來區,男,3胞胎,0
110,按登記日期分,65000290,新北市烏來區,男,4胞胎,0
110,按登記日期分,65000290,新北市烏來區,男,5胞胎以上,0
110,按登記日期分,65000290,新北市烏來區,女,單胎,26
110,按登記日期分,65000290,新北市烏來區,女,雙胞胎,1
110,按登記日期分,65000290,新北市烏來區,女,3胞胎,0
110,按登記日期分,65000290,新北市烏來區,女,4胞胎,0
110,按登記日期分,65000290,新北市烏來區,女,5胞胎以上,0
110,按登記日期分,63000010,臺北市松山區,男,單胎,588
110,按登記日期分,63000010,臺北市松山區,男,雙胞胎,35
110,按登記日期分,63000010,臺北市松山區,男,3胞胎,0
110,按登記日期分,63000010,臺北市松山區,男,4胞胎,0
110,按登記日期分,63000010,臺北市松山區,男,5胞胎以上,0
110,按登記日期分,63000010,臺北市松山區,女,單胎,524
110,按登記日期分,63000010,臺北市松山區,女,雙胞胎,34
110,按登記日期分,63000010,臺北市松山區,女,3胞胎,0
110,按登記日期分,63000010,臺北市松山區,女,4胞胎,0
110,按登記日期分,63000010,臺北市松山區,女,5胞胎以上,0
110,按登記日期分,63000020,臺北市信義區,男,單胎,675
110,按登記日期分,63000020,臺北市信義區,男,雙胞胎,38
110,按登記日期分,63000020,臺北市信義區,男,3胞胎,0
110,按登記日期分,63000020,臺北市信義區,男,4胞胎,0
110,按登記日期分,63000020,臺北市信義區,男,5胞胎以上,0
110,按登記日期分,63000020,臺北市信義區,女,單胎,623
110,按登記日期分,63000020,臺北市信義區,女,雙胞胎,47
110,按登記日期分,63000020,臺北市信義區,女,3胞胎,0
110,按登記日期分,63000020,臺北市信義區,女,4胞胎,0
110,按登記日期分,63000020,臺北市信義區,女,5胞胎以上,0
110,按登記日期分,63000030,臺北市大安區,男,單胎,841
110,按登記日期分,63000030,臺北市大安區,男,雙胞胎,49
110,按登記日期分,63000030,臺北市大安區,男,3胞胎,0
110,按登記日期分,63000030,臺北市大安區,男,4胞胎,0
110,按登記日期分,63000030,臺北市大安區,男,5胞胎以上,0
110,按登記日期分,63000030,臺北市大安區,女,單胎,796
110,按登記日期分,63000030,臺北市大安區,女,雙胞胎,49
110,按登記日期分,63000030,臺北市大安區,女,3胞胎,0
110,按登記日期分,63000030,臺北市大安區,女,4胞胎,0
110,按登記日期分,63000030,臺北市大安區,女,5胞胎以上,0
110,按登記日期分,63000040,臺北市中山區,男,單胎,708
110,按登記日期分,63000040,臺北市中山區,男,雙胞胎,37
110,按登記日期分,63000040,臺北市中山區,男,3胞胎,0
110,按登記日期分,63000040,臺北市中山區,男,4胞胎,0
110,按登記日期分,63000040,臺北市中山區,男,5胞胎以上,0
110,按登記日期分,63000040,臺北市中山區,女,單胎,673
110,按登記日期分,63000040,臺北市中山區,女,雙胞胎,37
110,按登記日期分,63000040,臺北市中山區,女,3胞胎,0
110,按登記日期分,63000040,臺北市中山區,女,4胞胎,0
110,按登記日期分,63000040,臺北市中山區,女,5胞胎以上,0
110,按登記日期分,63000050,臺北市中正區,男,單胎,516
110,按登記日期分,63000050,臺北市中正區,男,雙胞胎,23
110,按登記日期分,63000050,臺北市中正區,男,3胞胎,3
110,按登記日期分,63000050,臺北市中正區,男,4胞胎,0
110,按登記日期分,63000050,臺北市中正區,男,5胞胎以上,0
110,按登記日期分,63000050,臺北市中正區,女,單胎,467
110,按登記日期分,63000050,臺北市中正區,女,雙胞胎,23
110,按登記日期分,63000050,臺北市中正區,女,3胞胎,0
110,按登記日期分,63000050,臺北市中正區,女,4胞胎,0
110,按登記日期分,63000050,臺北市中正區,女,5胞胎以上,0
110,按登記日期分,63000060,臺北市大同區,男,單胎,404
110,按登記日期分,63000060,臺北市大同區,男,雙胞胎,16
110,按登記日期分,63000060,臺北市大同區,男,3胞胎,0
110,按登記日期分,63000060,臺北市大同區,男,4胞胎,0
110,按登記日期分,63000060,臺北市大同區,男,5胞胎以上,0
110,按登記日期分,63000060,臺北市大同區,女,單胎,384
110,按登記日期分,63000060,臺北市大同區,女,雙胞胎,21
110,按登記日期分,63000060,臺北市大同區,女,3胞胎,0
110,按登記日期分,63000060,臺北市大同區,女,4胞胎,0
110,按登記日期分,63000060,臺北市大同區,女,5胞胎以上,0
110,按登記日期分,63000070,臺北市萬華區,男,單胎,552
110,按登記日期分,63000070,臺北市萬華區,男,雙胞胎,23
110,按登記日期分,63000070,臺北市萬華區,男,3胞胎,0
110,按登記日期分,63000070,臺北市萬華區,男,4胞胎,0
110,按登記日期分,63000070,臺北市萬華區,男,5胞胎以上,0
110,按登記日期分,63000070,臺北市萬華區,女,單胎,535
110,按登記日期分,63000070,臺北市萬華區,女,雙胞胎,27
110,按登記日期分,63000070,臺北市萬華區,女,3胞胎,0
110,按登記日期分,63000070,臺北市萬華區,女,4胞胎,0
110,按登記日期分,63000070,臺北市萬華區,女,5胞胎以上,0
110,按登記日期分,63000080,臺北市文山區,男,單胎,842
110,按登記日期分,63000080,臺北市文山區,男,雙胞胎,45
110,按登記日期分,63000080,臺北市文山區,男,3胞胎,0
110,按登記日期分,63000080,臺北市文山區,男,4胞胎,0
110,按登記日期分,63000080,臺北市文山區,男,5胞胎以上,0
110,按登記日期分,63000080,臺北市文山區,女,單胎,767
110,按登記日期分,63000080,臺北市文山區,女,雙胞胎,38
110,按登記日期分,63000080,臺北市文山區,女,3胞胎,0
110,按登記日期分,63000080,臺北市文山區,女,4胞胎,0
110,按登記日期分,63000080,臺北市文山區,女,5胞胎以上,0
110,按登記日期分,63000090,臺北市南港區,男,單胎,403
110,按登記日期分,63000090,臺北市南港區,男,雙胞胎,21
110,按登記日期分,63000090,臺北市南港區,男,3胞胎,0
110,按登記日期分,63000090,臺北市南港區,男,4胞胎,0
110,按登記日期分,63000090,臺北市南港區,男,5胞胎以上,0
110,按登記日期分,63000090,臺北市南港區,女,單胎,367
110,按登記日期分,63000090,臺北市南港區,女,雙胞胎,24
110,按登記日期分,63000090,臺北市南港區,女,3胞胎,0
110,按登記日期分,63000090,臺北市南港區,女,4胞胎,0
110,按登記日期分,63000090,臺北市南港區,女,5胞胎以上,0
110,按登記日期分,63000100,臺北市內湖區,男,單胎,975
110,按登記日期分,63000100,臺北市內湖區,男,雙胞胎,47
110,按登記日期分,63000100,臺北市內湖區,男,3胞胎,0
110,按登記日期分,63000100,臺北市內湖區,男,4胞胎,0
110,按登記日期分,63000100,臺北市內湖區,男,5胞胎以上,0
110,按登記日期分,63000100,臺北市內湖區,女,單胎,960
110,按登記日期分,63000100,臺北市內湖區,女,雙胞胎,54
110,按登記日期分,63000100,臺北市內湖區,女,3胞胎,0
110,按登記日期分,63000100,臺北市內湖區,女,4胞胎,0
110,按登記日期分,63000100,臺北市內湖區,女,5胞胎以上,0
110,按登記日期分,63000110,臺北市士林區,男,單胎,880
110,按登記日期分,63000110,臺北市士林區,男,雙胞胎,51
110,按登記日期分,63000110,臺北市士林區,男,3胞胎,0
110,按登記日期分,63000110,臺北市士林區,男,4胞胎,0
110,按登記日期分,63000110,臺北市士林區,男,5胞胎以上,0
110,按登記日期分,63000110,臺北市士林區,女,單胎,844
110,按登記日期分,63000110,臺北市士林區,女,雙胞胎,38
110,按登記日期分,63000110,臺北市士林區,女,3胞胎,0
110,按登記日期分,63000110,臺北市士林區,女,4胞胎,0
110,按登記日期分,63000110,臺北市士林區,女,5胞胎以上,0
110,按登記日期分,63000120,臺北市北投區,男,單胎,800
110,按登記日期分,63000120,臺北市北投區,男,雙胞胎,49
110,按登記日期分,63000120,臺北市北投區,男,3胞胎,3
110,按登記日期分,63000120,臺北市北投區,男,4胞胎,0
110,按登記日期分,63000120,臺北市北投區,男,5胞胎以上,0
110,按登記日期分,63000120,臺北市北投區,女,單胎,686
110,按登記日期分,63000120,臺北市北投區,女,雙胞胎,53
110,按登記日期分,63000120,臺北市北投區,女,3胞胎,0
110,按登記日期分,63000120,臺北市北投區,女,4胞胎,0
110,按登記日期分,63000120,臺北市北投區,女,5胞胎以上,0
110,按登記日期分,68000010,桃園市桃園區,男,單胎,1838
110,按登記日期分,68000010,桃園市桃園區,男,雙胞胎,71
110,按登記日期分,68000010,桃園市桃園區,男,3胞胎,0
110,按登記日期分,68000010,桃園市桃園區,男,4胞胎,0
110,按登記日期分,68000010,桃園市桃園區,男,5胞胎以上,0
110,按登記日期分,68000010,桃園市桃園區,女,單胎,1730
110,按登記日期分,68000010,桃園市桃園區,女,雙胞胎,82
110,按登記日期分,68000010,桃園市桃園區,女,3胞胎,0
110,按登記日期分,68000010,桃園市桃園區,女,4胞胎,0
110,按登記日期分,68000010,桃園市桃園區,女,5胞胎以上,0
110,按登記日期分,68000020,桃園市中壢區,男,單胎,1869
110,按登記日期分,68000020,桃園市中壢區,男,雙胞胎,61
110,按登記日期分,68000020,桃園市中壢區,男,3胞胎,0
110,按登記日期分,68000020,桃園市中壢區,男,4胞胎,0
110,按登記日期分,68000020,桃園市中壢區,男,5胞胎以上,0
110,按登記日期分,68000020,桃園市中壢區,女,單胎,1713
110,按登記日期分,68000020,桃園市中壢區,女,雙胞胎,80
110,按登記日期分,68000020,桃園市中壢區,女,3胞胎,0
110,按登記日期分,68000020,桃園市中壢區,女,4胞胎,0
110,按登記日期分,68000020,桃園市中壢區,女,5胞胎以上,0
110,按登記日期分,68000030,桃園市大溪區,男,單胎,394
110,按登記日期分,68000030,桃園市大溪區,男,雙胞胎,12
110,按登記日期分,68000030,桃園市大溪區,男,3胞胎,0
110,按登記日期分,68000030,桃園市大溪區,男,4胞胎,0
110,按登記日期分,68000030,桃園市大溪區,男,5胞胎以上,0
110,按登記日期分,68000030,桃園市大溪區,女,單胎,363
110,按登記日期分,68000030,桃園市大溪區,女,雙胞胎,10
110,按登記日期分,68000030,桃園市大溪區,女,3胞胎,0
110,按登記日期分,68000030,桃園市大溪區,女,4胞胎,0
110,按登記日期分,68000030,桃園市大溪區,女,5胞胎以上,0
110,按登記日期分,68000040,桃園市楊梅區,男,單胎,790
110,按登記日期分,68000040,桃園市楊梅區,男,雙胞胎,32
110,按登記日期分,68000040,桃園市楊梅區,男,3胞胎,0
